Stkcd
8
12
21
25
27
30
36
39
55
59
70
88
89
90
99
100
150
156
338
413
488
503
506
516
517
520
536
541
563
566
587
598
601
616
620
652
665
667
669
697
719
729
732
733
738
751
758
762
777
793
801
819
838
839
860
861
863
882
883
900
917
921
938
961
969
970
973
979
988
2001
2004
2010
2013
2029
2030
2031
2049
2055
2056
2063
2064
2073
2095
2111
2121
2128
2131
2153
2157
2183
2185
2195
2210
2226
2230
2237
2249
2251
2253
2254
2256
2261
2268
2273
2276
2281
2284
2303
2308
2318
2326
2335
2338
2340
2345
2354
2358
2364
2368
2375
2376
2385
2390
2393
2396
2399
2405
2408
2410
2413
2416
2421
2422
2426
2428
2429
2430
2433
2436
2439
2443
2445
2448
2456
2460
2465
2467
2471
2479
2482
2484
2493
2498
2511
2512
2520
2522
2533
2556
2570
2574
2583
2589
2594
2597
2601
2603
2610
2618
2625
2626
2640
2642
2657
2665
2678
2689
2698
2709
600006
600008
600017
600026
600028
600029
600033
600037
600038
600050
600059
600067
600071
600073
600088
600089
600094
600100
600105
600108
600111
600116
600118
600122
600125
600130
600138
600143
600151
600157
600158
600160
600161
600170
600172
600180
600184
600191
600195
600207
600208
600210
600216
600220
600221
600226
600260
600261
600266
600269
600278
600284
600289
600291
600292
600298
600300
600317
600323
600325
600335
600351
600362
600363
600366
600391
600392
600399
600400
600409
600410
600415
600428
600435
600458
600482
600491
600495
600498
600500
600510
600525
600537
600547
600551
600552
600568
600580
600582
600587
600590
600594
600601
600602
600604
600611
600622
600626
600630
600635
600638
600639
600641
600642
600648
600650
600662
600664
600667
600676
600687
600703
600704
600711
600715
600718
600728
600730
600737
600739
600754
600756
600757
600773
600775
600776
600779
600811
600818
600825
600827
600831
600836
600841
600845
600851
600855
600862
600869
600873
600874
600879
600893
600895
600998
601010
601012
601016
601058
601088
601107
601126
601158
601179
601216
601238
601258
601333
601339
601369
601588
601618
601636
601700
601727
601777
601808
601857
601872
601880
601886
601890
601899
601908
601928
601929
601933
601965
601991
601992
603019
603077
603993
